circuit,aspect_ratio,planned_core_w,planned_core_h,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct_vs_baseline,vtr_success,vtr_seconds,dsp_coords,bram_coords,note
raygentop,0.2,6,28,8,40,1404620.0,5.84093,0.0244,200184.60515704,-12.948331016800656,True,9.53,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17], [6, 21]]","[[2, 1]]",
raygentop,0.3,7,24,9,30,1191140.0,5.22003,0.02523,156874.754257866,11.487990506578754,True,9.43,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17], [6, 21]]","[[2, 1]]",
raygentop,0.4,10,24,11,28,1179390.0,5.29177,0.02595,161955.523096785,8.621314719058098,True,10.09,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17], [6, 21]]","[[2, 1]]",
raygentop,0.1,6,55,8,80,2763670.0,6.20388,0.0307,526366.14511572,-196.98676153407933,True,10.99,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17], [6, 21]]","[[2, 1]]",
raygentop,0.9,14,15,18,20,1230710.0,5.69696,0.02609,182924.96418934397,-3.2100814659864465,True,9.03,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5], [14, 9]]","[[2, 1]]",
raygentop,0.7,14,20,16,23,1304750.0,5.12828,0.02879,192637.4406707,-8.690063344455645,True,10.24,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17], [14, 1]]","[[2, 1]]",
raygentop,0.5,12,24,13,26,1276380.0,5.22787,0.02748,183367.134567288,-3.459563218964749,True,12.14,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17], [6, 21]]","[[2, 1]]",
raygentop,0.8,14,17,17,21,1465570.0,5.37149,0.02758,217117.885048694,-22.502440839093403,True,10.74,"[[6, 1], [6, 5], [6, 9], [6, 13], [14, 1], [14, 5]]","[[2, 1]]",
raygentop,0.6,14,23,16,27,1550560.0,5.52989,0.02918,250201.757636512,-41.169052037467615,True,11.94,"[[6, 1], [6, 5], [6, 9], [6, 13], [6, 17], [14, 1]]","[[2, 1]]",
raygentop,1.0,14,14,19,19,1280900.0,5.84024,0.02577,192779.27323032,-8.770088233883845,True,11.74,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5], [14, 9]]","[[2, 1]]",
raygentop,1.1,14,13,20,18,1381420.0,5.57607,0.02685,206822.72053088996,-16.693694212862344,True,10.23,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5], [14, 9]]","[[2, 1]]",
raygentop,1.2,14,12,21,18,1404520.0,5.47265,0.02758,211992.19110524,-19.61041737024628,True,10.33,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5], [14, 9]]","[[2, 1]]",
