seed,update_index,timesteps,policy_entropy,explained_variance,value_loss,mean_episode_reward,source
123,646,50688,3.457404,0.908614,0.008165,0.2,runs/train_multi11_seed123.log:48783 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,661,51840,3.465044,0.923541,0.007242,0.223,runs/train_multi11_seed123.log:49778 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,676,52992,3.477245,0.869485,0.012721,0.168,runs/train_multi11_seed123.log:50541 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,691,54144,3.579966,0.831834,0.02504,0.205,runs/train_multi11_seed123.log:51474 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,706,55296,3.408339,0.894262,0.016305,0.234,runs/train_multi11_seed123.log:53381 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,721,56448,3.363739,0.8493,0.016188,0.245,runs/train_multi11_seed123.log:53959 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,736,57600,3.187286,0.890102,0.011407,0.282,runs/train_multi11_seed123.log:54648 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,751,58752,3.307163,0.823308,0.02127,0.249,runs/train_multi11_seed123.log:56385 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,766,59904,3.362225,0.86205,0.013575,0.218,runs/train_multi11_seed123.log:57319 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,781,61056,3.124171,0.932189,0.006914,0.243,runs/train_multi11_seed123.log:58155 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
123,796,62208,3.196196,0.917848,0.009224,0.266,runs/train_multi11_seed123.log:58660 (Stability Report block); timesteps/ep_rew_mean from the SB3 table immediately above
